Date,Product_ID,Product_Name,Demand,Inventory_Level,Lead_Time_Days,Unit_Cost,Unit_Price
2021-01-01,P001,Television,107,393,5,10,20
2021-01-02,P001,Television,68,325,5,10,20
2021-01-03,P001,Television,76,249,5,10,20
2021-01-04,P001,Television,122,627,5,10,20
2021-01-05,P001,Television,96,531,5,10,20
2021-01-06,P001,Television,96,435,5,10,20
2021-01-07,P001,Television,123,312,5,10,20
2021-01-08,P001,Television,111,201,5,10,20
2021-01-09,P001,Television,65,636,5,10,20
2021-01-10,P001,Television,75,561,5,10,20
2021-01-11,P001,Television,93,468,5,10,20
2021-01-12,P001,Television,93,375,5,10,20
2021-01-13,P001,Television,103,272,5,10,20
2021-01-14,P001,Television,71,201,5,10,20
2021-01-15,P001,Television,74,627,5,10,20
2021-01-16,P001,Television,64,563,5,10,20
2021-01-17,P001,Television,59,504,5,10,20
2021-01-18,P001,Television,104,400,5,10,20
2021-01-19,P001,Television,86,314,5,10,20
2021-01-20,P001,Television,78,236,5,10,20
2021-01-21,P001,Television,121,615,5,10,20
2021-01-22,P001,Television,96,519,5,10,20
2021-01-23,P001,Television,70,449,5,10,20
2021-01-24,P001,Television,55,394,5,10,20
2021-01-25,P001,Television,91,303,5,10,20
2021-01-26,P001,Television,101,202,5,10,20
2021-01-27,P001,Television,82,620,5,10,20
2021-01-28,P001,Television,105,515,5,10,20
2021-01-29,P001,Television,90,425,5,10,20
2021-01-30,P001,Television,66,359,5,10,20
2021-01-31,P001,Television,63,296,5,10,20
2021-02-01,P001,Television,146,650,5,10,20
2021-02-02,P001,Television,114,536,5,10,20
2021-02-03,P001,Television,96,440,5,10,20
2021-02-04,P001,Television,129,311,5,10,20
2021-02-05,P001,Television,93,218,5,10,20
2021-02-06,P001,Television,83,635,5,10,20
2021-02-07,P001,Television,56,579,5,10,20
2021-02-08,P001,Television,92,487,5,10,20
2021-02-09,P001,Television,118,369,5,10,20
2021-02-10,P001,Television,127,242,5,10,20
2021-02-11,P001,Television,117,625,5,10,20
2021-02-12,P001,Television,113,512,5,10,20
2021-02-13,P001,Television,76,436,5,10,20
2021-02-14,P001,Television,62,374,5,10,20
2021-02-15,P001,Television,102,272,5,10,20
2021-02-16,P001,Television,107,665,5,10,20
2021-02-17,P001,Television,133,532,5,10,20
2021-02-18,P001,Television,120,412,5,10,20
2021-02-19,P001,Television,84,328,5,10,20
2021-02-20,P001,Television,84,244,5,10,20
2021-02-21,P001,Television,75,669,5,10,20
2021-02-22,P001,Television,103,566,5,10,20
2021-02-23,P001,Television,125,441,5,10,20
2021-02-24,P001,Television,132,309,5,10,20
2021-02-25,P001,Television,131,678,5,10,20
2021-02-26,P001,Television,100,578,5,10,20
2021-02-27,P001,Television,76,502,5,10,20
2021-02-28,P001,Television,84,418,5,10,20
2021-03-01,P001,Television,144,274,5,10,20
2021-03-02,P001,Television,116,658,5,10,20
2021-03-03,P001,Television,122,536,5,10,20
2021-03-04,P001,Television,105,431,5,10,20
2021-03-05,P001,Television,103,328,5,10,20
2021-03-06,P001,Television,98,230,5,10,20
2021-03-07,P001,Television,106,624,5,10,20
2021-03-08,P001,Television,124,500,5,10,20
2021-03-09,P001,Television,144,356,5,10,20
2021-03-10,P001,Television,132,224,5,10,20
2021-03-11,P001,Television,113,611,5,10,20
